month,holdings
2020-07,TSLA;DOCU;DXCM;SGEN;NVDA;ZM;REGN;JD;AMD;LULU;AAPL;ASML;VRTX;SWKS;NTES;ATVI;CTXS;KLAC;SPLK;LRCX
2020-08,MRNA;TSLA;DOCU;ZM;DXCM;NVDA;SGEN;REGN;JD;NTES;VRTX;AAPL;AMD;ASML;LULU;CTXS;MELI;LRCX;PYPL;ATVI
2020-09,TSLA;MRNA;DOCU;PDD;ZM;NVDA;DXCM;AMD;SGEN;REGN;JD;AAPL;SWKS;MELI;SPLK;NTES;LRCX;PYPL;AMZN;LULU
2020-10,TSLA;ZM;MRNA;DOCU;AMD;NVDA;DXCM;JD;PDD;AAPL;REGN;MELI;AMZN;NFLX;PYPL;LULU;NTES;SPLK;ADBE;SWKS
2020-11,TSLA;ZM;MRNA;DOCU;NVDA;DXCM;JD;AMD;MELI;PYPL;AAPL;REGN;SGEN;PDD;AMZN;ADBE;NFLX;NTES;CDNS;SWKS
2020-12,ZM;TSLA;MRNA;DOCU;PDD;JD;NVDA;MELI;AMD;PYPL;IDXX;AMZN;AAPL;CDNS;ALGN;QCOM;SNPS;NFLX;REGN;SWKS
2021-01,MRNA;ZM;TSLA;PTON;PDD;DOCU;MELI;JD;NVDA;OKTA;AMD;PYPL;TEAM;IDXX;MRVL;ALGN;AMZN;QCOM;MTCH;TMUS
2021-02,TSLA;MRNA;PDD;PTON;ZM;DOCU;MELI;JD;NVDA;ALGN;PYPL;MRVL;OKTA;AMD;MTCH;CDNS;IDXX;QCOM;SNPS;ASML
2021-03,MRNA;TSLA;PTON;PDD;ZM;MELI;DOCU;MRVL;ALGN;JD;PYPL;MTCH;QCOM;OKTA;CDNS;BIDU;ASML;AAPL;NVDA;AMD
2021-04,TSLA;MRNA;PDD;PTON;MELI;ALGN;BIDU;PYPL;AMAT;ZM;DOCU;LRCX;JD;MTCH;MCHP;NXPI;KLAC;ASML;MU;MRVL
2021-05,TSLA;PTON;MRNA;PDD;AMAT;MELI;ALGN;ZM;LRCX;BIDU;ASML;NXPI;KLAC;PYPL;JD;DOCU;MU;MRVL;NVDA;MCHP
2021-06,TSLA;MRNA;ALGN;AMAT;PTON;LRCX;NXPI;PDD;BIDU;ASML;MELI;KLAC;MU;ZM;IDXX;QCOM;MTCH;NVDA;PYPL;MAR
2021-07,TSLA;MRNA;AMAT;ALGN;LRCX;PTON;NXPI;ASML;NVDA;MXIM;IDXX;MAR;GOOGL;KLAC;BIDU;MU;TCOM;SBUX;ALXN;CPRT
2021-08,MRNA;TSLA;AMAT;ALGN;ASML;NVDA;PTON;NXPI;LRCX;BIDU;MU;KLAC;GOOGL;MAR;INTU;MRVL;IDXX;MTCH;MXIM;AVGO
2021-09,MRNA;ALGN;AMAT;ASML;CRWD;LRCX;IDXX;KLAC;MU;TEAM;NXPI;GOOGL;CDW;MRVL;INTU;ADP;PTON;PAYX;NVDA;SBUX
2021-10,MRNA;AMAT;ASML;ALGN;CRWD;TEAM;GOOGL;LRCX;KLAC;INTU;NXPI;MELI;TSLA;IDXX;CDW;NVDA;MU;SNPS;MRVL;MCHP
2021-11,MRNA;AMAT;ASML;TEAM;TSLA;CRWD;INTU;KLAC;DXCM;LRCX;NVDA;GOOGL;MRVL;MAR;ALGN;CSCO;FOXA;CDW;ISRG;EBAY
2021-12,MRNA;TEAM;TSLA;DXCM;NVDA;ASML;CRWD;INTU;GOOGL;AMAT;MSFT;EBAY;KLAC;ISRG;CDNS;MRVL;SNPS;IDXX;CDW;NFLX
2022-01,LCID;MRNA;NVDA;FTNT;DDOG;ZS;AMD;INTU;AMAT;ASML;TSLA;GOOGL;XLNX;TEAM;KLAC;PANW;DXCM;MRVL;MSFT;LRCX
2022-02,FTNT;NVDA;ODFL;INTU;DDOG;MRVL;AMD;LCID;ORLY;TEAM;AMAT;XLNX;COST;ZS;PAYX;PANW;GOOGL;KLAC;ADP;AVGO
2022-03,NVDA;FTNT;EXC;COST;DDOG;MRVL;ORLY;AAPL;PANW;INTU;ODFL;TSLA;PEP;TEAM;AMD;REGN;MSFT;GOOGL;DLTR;PAYX
2022-04,DDOG;FTNT;PANW;NVDA;AMD;COST;TEAM;EXC;MRVL;ZS;AAPL;QCOM;GOOGL;ODFL;REGN;TSLA;AVGO;ORLY;MSFT;SNPS
2022-05,NVDA;DDOG;PANW;FTNT;MRVL;COST;EXC;TSLA;REGN;PAYX;AVGO;DLTR;SNPS;AMD;AAPL;DXCM;ZS;AZN;CDNS;CTAS
2022-06,DLTR;PANW;EXC;COST;TSLA;DDOG;FTNT;REGN;VRTX;PAYX;AAPL;MAR;AVGO;MRVL;AZN;PEP;CDNS;VRSK;AEP;NVDA
2022-07,DLTR;EXC;PANW;VRTX;MAR;AEP;AVGO;FTNT;REGN;COST;PAYX;XEL;SNPS;PEP;KLAC;ADP;AZN;ORLY;CDNS;TSLA
2022-08,DLTR;EXC;VRTX;PANW;AZN;SGEN;AEP;COST;PEP;XEL;SNPS;ORLY;AMGN;FTNT;KHC;AVGO;REGN;KDP;PCAR;ADP
2022-09,DLTR;VRTX;EXC;TSLA;COST;ORLY;MAR;ADP;AZN;PCAR;PEP;PAYX;CDNS;KLAC;AEP;AMGN;SIRI;KDP;AVGO;SNPS
2022-10,VRTX;DLTR;EXC;AEP;ADP;XEL;COST;PEP;AMGN;PANW;SNPS;CDNS;PCAR;ORLY;KDP;TMUS;PAYX;AAPL;MDLZ;CTAS
2022-11,VRTX;DLTR;TMUS;ORLY;AMGN;REGN;AEP;PEP;ADP;MNST;XEL;EXC;KDP;BIIB;GILD;SIRI;KHC;COST;PANW;PCAR
2022-12,VRTX;TMUS;AMGN;ORLY;ATVI;ENPH;BIIB;PCAR;GILD;DLTR;KHC;REGN;PEP;KDP;MNST;AEP;AZN;MAR;MDLZ;ADP
2023-01,ENPH;FANG;VRTX;PDD;AMGN;TMUS;BIIB;GILD;BKR;ORLY;PCAR;AZN;REGN;KHC;AEP;ATVI;PEP;ADP;SIRI;HON
2023-02,ENPH;PDD;GILD;ORLY;TMUS;BIIB;ROST;AZN;AMGN;VRTX;KHC;REGN;ADP;MNST;CTAS;FANG;PCAR;BKR;CSGP;GFS
2023-03,PDD;CEG;GILD;VRTX;BIIB;ENPH;ROST;CSGP;PCAR;MNST;REGN;ORLY;TMUS;SBUX;CDNS;CTAS;MRNA;AMGN;KLAC;SNPS
2023-04,PDD;GILD;CEG;PCAR;BIIB;MNST;SGEN;ROST;ORLY;CDNS;SBUX;ODFL;FISV;ADI;CPRT;VRTX;TMUS;MCHP;SNPS;FANG
2023-05,NFLX;PDD;SGEN;NVDA;GILD;SBUX;ORLY;CDNS;GFS;PCAR;MELI;SNPS;BIIB;CEG;CPRT;MCHP;ENPH;ADI;KLAC;MNST
2023-06,NFLX;DXCM;MELI;BIIB;NVDA;SBUX;SGEN;ORLY;CPRT;CDNS;PDD;PCAR;ISRG;GILD;LULU;ROST;VRTX;CSGP;MNST;IDXX
2023-07,NVDA;NFLX;MELI;AVGO;ON;META;CPRT;DXCM;AMD;CDNS;ASML;ISRG;WDAY;SNPS;ROST;CEG;AMAT;LRCX;BIIB;GFS
2023-08,NVDA;NFLX;META;TTD;AVGO;DXCM;PANW;ISRG;WDAY;MELI;PCAR;CPRT;ON;PDD;CEG;ROST;BKNG;AMAT;ORLY;GILD
2023-09,NVDA;NFLX;META;AVGO;LRCX;AMAT;FTNT;IDXX;BKNG;ISRG;ON;ODFL;ALGN;PCAR;DXCM;KLAC;CPRT;ASML;ADBE;MCHP
2023-10,NVDA;META;AVGO;ADBE;LRCX;BKNG;AMAT;NFLX;ALGN;BKR;ODFL;CPRT;KLAC;AMD;ISRG;MELI;CMCSA;ASML;WDAY;PDD
2023-11,NVDA;META;AVGO;PDD;AMD;SGEN;BKNG;ADBE;AMAT;ALGN;SNPS;LRCX;CDNS;ON;CPRT;ODFL;KLAC;TTD;CMCSA;MELI
2023-12,META;NVDA;SGEN;AVGO;ADBE;CRWD;PANW;CDNS;SNPS;AMZN;TEAM;TTD;NFLX;BKNG;MSFT;MELI;CPRT;AMD;LRCX;WDAY
2024-01,NVDA;META;CRWD;PANW;MDB;TSLA;DASH;MELI;AMD;ADBE;PDD;ZS;SPLK;AMZN;INTC;LRCX;SNPS;CDNS;AVGO;CPRT
2024-02,NVDA;CRWD;META;AMD;AVGO;MDB;PANW;INTC;ZS;DASH;LULU;DDOG;ADBE;SPLK;LRCX;MSFT;WDAY;KLAC;PDD;CDNS
2024-03,NVDA;CRWD;META;AMD;AVGO;MDB;ADBE;DASH;PANW;ZS;NFLX;INTC;LRCX;ISRG;AMZN;CEG;DDOG;MSFT;KLAC;WDAY
2024-04,NVDA;CRWD;META;CEG;ZS;AVGO;AMD;DASH;MDB;DDOG;LRCX;NFLX;KLAC;AMZN;MRVL;AMAT;PDD;PCAR;PANW;COST
2024-05,NVDA;CRWD;CEG;DASH;AVGO;ZS;META;AMD;LRCX;MU;NFLX;AMAT;DDOG;KLAC;MRVL;PCAR;AMZN;PDD;PANW;NXPI
2024-06,NVDA;CEG;DASH;PDD;CRWD;MU;FANG;AVGO;META;PCAR;KLAC;INTU;AMAT;QCOM;LRCX;NXPI;COST;AMZN;ABNB;CDW
2024-07,NVDA;CEG;PDD;CRWD;MU;QCOM;META;FANG;KLAC;AVGO;COST;AMAT;AMD;LRCX;MELI;NFLX;GOOGL;DASH;AMGN;BKNG
